Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,610.340637,617.783813,580.567932,590.492188,543.947937,10043491
2020-03-03,602.897461,607.859619,595.454285,605.378540,557.660950,12415260
2020-03-04,605.378540,630.189148,605.378540,625.226990,575.944885,11298600
2020-03-05,630.189148,632.670166,617.783813,625.226990,575.944885,8704547
2020-03-06,622.745972,625.226990,610.340637,615.302795,566.802917,5812234
2020-03-09,615.302795,615.302795,580.567932,597.935364,550.804443,9196675
2020-03-10,597.935364,627.708069,590.492188,625.226990,575.944885,17122926
2020-03-11,625.226990,637.632324,612.821716,627.708069,578.230347,12107327
2020-03-12,627.708069,627.708069,600.416443,605.378540,557.660950,8493750
2020-03-13,595.454285,620.264893,563.200500,615.302795,566.802917,10261140
2020-03-16,615.302795,615.302795,573.124756,573.124756,527.949524,12210911
2020-03-17,573.124756,578.086914,555.757324,560.719482,516.522034,4870701
2020-03-18,560.719482,570.643677,523.503601,523.503601,482.239624,8034873
2020-03-19,523.503601,523.503601,488.768738,488.768738,450.242615,14928500
2020-03-20,488.768738,496.211914,456.514954,481.325562,443.386139,15267871
2020-03-23,481.325562,481.325562,449.071777,471.401337,434.244171,9131582
2020-03-24,468.920258,538.389954,451.552856,466.439209,429.673187,25830899
2020-03-26,471.401337,501.174042,471.401337,493.730865,454.813629,30143774
2020-03-27,493.730865,535.908875,493.730865,511.098267,470.812073,13052487
2020-03-30,503.655090,523.503601,481.325562,518.541443,477.668579,3641589
2020-03-31,530.946777,645.075500,521.022522,580.567932,534.805969,32017973
2020-04-01,575.605835,592.973267,548.314148,548.314148,505.094452,8327893
2020-04-02,540.870972,585.530090,540.870972,580.567932,534.805969,11373568
2020-04-03,580.567932,704.620911,580.567932,615.302795,566.802917,31352531
2020-04-06,625.226990,657.480774,617.783813,647.556580,596.514343,22669951
2020-04-07,654.999756,654.999756,610.340637,617.783813,569.088379,19936441
2020-04-08,622.745972,622.745972,588.011108,605.378540,557.660950,17964098
2020-04-09,605.378540,625.226990,602.897461,612.821716,564.517395,6411776
2020-04-13,615.302795,620.264893,605.378540,612.821716,564.517395,2294382
2020-04-14,612.821716,622.745972,602.897461,617.783813,569.088379,10946331
2020-04-15,617.783813,625.226990,605.378540,605.378540,557.660950,12432591
2020-04-16,605.378540,612.821716,563.200500,568.162659,523.378479,20810060
2020-04-17,585.530090,590.492188,565.681580,590.492188,543.947937,9182770
2020-04-20,595.454285,605.378540,580.567932,602.897461,568.268921,21012191
2020-04-21,602.897461,612.821716,595.454285,600.416443,565.930420,14536329
2020-04-22,597.935364,600.416443,575.605835,585.530090,551.899048,7162463
2020-04-23,590.492188,597.935364,585.530090,590.492188,556.576172,6803947
2020-04-24,590.492188,595.454285,563.200500,568.162659,535.529175,9312553
2020-04-27,568.162659,588.011108,568.162659,583.049011,549.560486,4095830
2020-04-28,590.492188,590.492188,580.567932,585.530090,551.899048,3901155
2020-04-29,588.011108,622.745972,588.011108,620.264893,584.638855,22552662
2020-04-30,615.302795,632.670166,615.302795,625.226990,589.315918,12787480
2020-05-04,625.226990,635.151245,605.378540,635.151245,598.670166,6374091
2020-05-05,635.151245,635.151245,617.783813,622.745972,586.977356,3181906
2020-05-06,622.745972,625.226990,605.378540,610.340637,575.284607,2515054
2020-05-08,610.340637,625.226990,610.340637,625.226990,589.315918,9142464
2020-05-11,625.226990,635.151245,617.783813,617.783813,582.300232,14402515
2020-05-12,622.745972,622.745972,605.378540,610.340637,575.284607,4715727
2020-05-13,607.859619,620.264893,595.454285,620.264893,584.638855,2468098
2020-05-14,620.264893,625.226990,607.859619,620.264893,584.638855,1692220
2020-05-15,617.783813,617.783813,600.416443,610.340637,575.284607,5632472
2020-05-18,615.302795,615.302795,597.935364,600.416443,565.930420,5154450
2020-05-19,610.340637,622.745972,600.416443,612.821716,577.623169,11247009
2020-05-20,612.821716,620.264893,607.859619,612.821716,577.623169,6348497
2020-05-26,607.859619,625.226990,607.859619,617.783813,582.300232,5275367
2020-05-27,617.783813,620.264893,610.340637,617.783813,582.300232,5550249
2020-05-28,617.783813,622.745972,610.340637,617.783813,582.300232,9961066
2020-05-29,617.783813,620.264893,605.378540,605.378540,570.607544,6822488
2020-06-02,607.859619,620.264893,602.897461,615.302795,579.961731,6656833
2020-06-03,617.783813,625.226990,605.378540,607.859619,572.946045,10881439
2020-06-04,607.859619,617.783813,600.416443,602.897461,568.268921,8177151
2020-06-05,607.859619,615.302795,600.416443,605.378540,570.607544,7945395
2020-06-08,605.378540,622.745972,605.378540,622.745972,586.977356,17066901
2020-06-09,630.189148,654.999756,627.708069,650.037598,612.701538,34850432
2020-06-10,654.999756,664.923950,612.821716,630.189148,593.993042,29383010
2020-06-11,620.264893,625.226990,607.859619,610.340637,575.284607,9622904
2020-06-12,605.378540,607.859619,573.124756,600.416443,565.930420,14628225
2020-06-15,605.378540,617.783813,600.416443,615.302795,579.961731,18368764
2020-06-16,620.264893,622.745972,605.378540,615.302795,579.961731,14174589
2020-06-17,617.783813,622.745972,610.340637,610.340637,575.284607,5828356
2020-06-18,615.302795,620.264893,607.859619,610.340637,575.284607,9176119
2020-06-19,610.340637,617.783813,607.859619,610.340637,575.284607,5246951
2020-06-22,610.340637,617.783813,600.416443,605.378540,570.607544,7158231
2020-06-23,605.378540,605.378540,590.492188,592.973267,558.914734,11547284
2020-06-24,595.454285,605.378540,592.973267,602.897461,568.268921,6142335
2020-06-25,605.378540,605.378540,595.454285,597.935364,563.591858,5000887
2020-06-26,597.935364,602.897461,597.935364,600.416443,565.930420,7886146
2020-06-29,600.416443,620.264893,600.416443,605.378540,570.607544,14226582
2020-06-30,605.378540,615.302795,597.935364,602.897461,568.268921,16106223
2020-07-01,602.897461,625.226990,597.935364,622.745972,586.977356,20602890
2020-07-02,625.226990,627.708069,607.859619,610.340637,575.284607,19209131
2020-07-03,615.302795,615.302795,607.859619,607.859619,572.946045,4882591
2020-07-06,607.859619,615.302795,607.859619,610.340637,575.284607,9058226
2020-07-07,610.340637,617.783813,585.530090,610.340637,575.284607,4604887
2020-07-08,612.821716,617.783813,605.378540,607.859619,572.946045,23276748
2020-07-09,610.340637,612.821716,605.378540,610.340637,575.284607,33371427
2020-07-10,610.340637,612.821716,605.378540,607.859619,572.946045,9341774
2020-07-13,610.340637,610.340637,602.897461,605.378540,570.607544,9081603
2020-07-14,607.859619,610.340637,602.897461,602.897461,568.268921,5468631
2020-07-15,607.859619,607.859619,602.897461,605.378540,570.607544,4441852
2020-07-16,605.378540,610.340637,602.897461,605.378540,570.607544,2063634
2020-07-17,605.378540,610.340637,597.935364,600.416443,565.930420,11948725
2020-07-20,600.416443,605.378540,600.416443,600.416443,565.930420,4011390
2020-07-21,602.897461,632.670166,600.416443,615.302795,579.961731,39601426
2020-07-22,630.189148,630.189148,615.302795,617.783813,582.300232,17494339
2020-07-23,620.264893,640.113403,620.264893,630.189148,593.993042,25861329
2020-07-24,632.670166,635.151245,610.340637,612.821716,577.623169,12762692
2020-07-27,615.302795,625.226990,615.302795,622.745972,586.977356,8412937
2020-07-28,622.745972,622.745972,617.783813,620.264893,584.638855,3957986
2020-07-29,620.264893,632.670166,617.783813,630.189148,593.993042,9008247
2020-07-30,635.151245,652.518677,630.189148,645.075500,608.024353,32908318
2020-08-03,645.075500,657.480774,617.783813,637.632324,601.008667,25944963
2020-08-04,637.632324,652.518677,632.670166,645.075500,608.024353,17418565
2020-08-05,645.075500,692.215637,637.632324,682.291382,643.102722,30415432
2020-08-06,689.734558,719.507263,679.810303,694.696655,654.795471,24051417
2020-08-07,697.177734,702.139893,677.329285,697.177734,657.134033,14397074
2020-08-10,699.658813,702.139893,689.734558,692.215637,652.456909,11236932
2020-08-11,697.177734,699.658813,682.291382,684.772461,645.441284,13493831
2020-08-12,684.772461,692.215637,664.923950,679.810303,640.764160,23126610
2020-08-13,684.772461,684.772461,674.848206,677.329285,638.425598,5852539
2020-08-14,679.810303,682.291382,669.886108,669.886108,631.409973,7540125
2020-08-18,669.886108,687.253479,669.886108,682.291382,643.102722,14839828
2020-08-19,682.291382,684.772461,674.848206,679.810303,640.764160,15383346
2020-08-24,682.291382,682.291382,672.367126,674.848206,636.087036,9570104
2020-08-25,677.329285,679.810303,672.367126,674.848206,636.087036,20715947
2020-08-26,677.329285,702.139893,672.367126,689.734558,650.118408,27247027
2020-08-27,689.734558,729.431519,689.734558,697.177734,657.134033,72825336
2020-08-28,699.658813,726.950439,697.177734,704.620911,664.149780,57199150
2020-08-31,707.101990,714.545166,684.772461,687.253479,647.779785,41187644
2020-09-01,689.734558,694.696655,687.253479,694.696655,654.795471,12588976
2020-09-02,694.696655,702.139893,689.734558,694.696655,654.795471,10066666
2020-09-03,694.696655,697.177734,689.734558,692.215637,652.456909,5593779
2020-09-04,692.215637,694.696655,669.886108,694.696655,654.795471,20483788
2020-09-07,694.696655,699.658813,687.253479,694.696655,654.795471,14615932
2020-09-08,692.215637,729.431519,692.215637,724.469421,682.858215,57554643
2020-09-09,721.988342,761.685303,704.620911,734.393616,692.212402,75149545
2020-09-10,734.393616,734.393616,684.772461,687.253479,647.779785,53432815
2020-09-11,687.253479,741.836792,654.999756,741.836792,699.228027,68724467
2020-09-14,744.317871,823.711792,739.355774,803.863281,757.691833,146032465
2020-09-15,808.825439,818.749695,784.014832,784.014832,738.983459,43825126
2020-09-16,784.014832,788.976929,749.279968,759.204224,715.597900,33894389
2020-09-17,759.204224,779.052734,749.279968,749.279968,706.243652,24586269
2020-09-18,749.279968,774.090576,749.279968,764.166382,720.275085,18674984
2020-09-21,764.166382,774.090576,724.469421,764.166382,720.275085,27372276
2020-09-22,764.166382,764.166382,729.431519,744.317871,701.566528,32380117
2020-09-23,744.317871,744.317871,714.545166,734.393616,692.212402,27472032
2020-09-24,734.393616,734.393616,714.545166,724.469421,682.858215,19989947
2020-09-25,724.469421,754.242126,719.507263,749.279968,706.243652,19685641
2020-09-28,759.204224,759.204224,729.431519,734.393616,692.212402,12535269
2020-09-29,739.355774,744.317871,719.507263,724.469421,682.858215,10504785
2020-09-30,729.431519,739.355774,714.545166,739.355774,696.889465,9242925
2020-10-01,739.355774,749.279968,734.393616,739.355774,696.889465,10868138
2020-10-02,739.355774,749.279968,714.545166,734.393616,692.212402,12508768
2020-10-05,734.393616,739.355774,714.545166,729.431519,687.535278,4885614
2020-10-06,739.355774,749.279968,729.431519,739.355774,696.889465,14853835
