Date,Open,High,Low,Close,Adj Close,Volume
2020-05-08,2830.000000,3100.000000,2830.000000,3090.000000,3061.341797,29645300
2020-05-11,3080.000000,3190.000000,2960.000000,3000.000000,2972.176514,11674900
2020-05-12,3000.000000,3050.000000,2900.000000,2930.000000,2902.825684,8827100
2020-05-13,2900.000000,3000.000000,2850.000000,2970.000000,2942.454834,6123700
2020-05-14,2950.000000,3070.000000,2920.000000,2990.000000,2962.269287,11243900
2020-05-15,2980.000000,3010.000000,2870.000000,2890.000000,2863.196777,6667700
2020-05-18,2900.000000,2950.000000,2860.000000,2900.000000,2873.104004,3976600
2020-05-19,2980.000000,3050.000000,2930.000000,2950.000000,2922.640381,11335800
2020-05-20,2950.000000,2980.000000,2900.000000,2960.000000,2932.547607,4350500
2020-05-26,2960.000000,3080.000000,2940.000000,3040.000000,3011.805664,6255900
2020-05-27,3050.000000,3080.000000,2910.000000,2910.000000,2883.011230,9015200
2020-05-28,2920.000000,2970.000000,2800.000000,2830.000000,2803.753174,10686600
2020-05-29,2880.000000,2900.000000,2740.000000,2780.000000,2754.217041,14212000
2020-06-02,2800.000000,2990.000000,2800.000000,2930.000000,2902.825684,18168300
2020-06-03,2970.000000,3020.000000,2840.000000,2880.000000,2853.289551,23761500
2020-06-04,2900.000000,3020.000000,2880.000000,2940.000000,2912.732910,36046600
2020-06-05,2960.000000,3080.000000,2940.000000,3030.000000,3001.898438,48332900
2020-06-08,3070.000000,3140.000000,2980.000000,3000.000000,2972.176514,33184000
2020-06-09,3050.000000,3070.000000,2900.000000,2920.000000,2892.918457,25461400
2020-06-10,2930.000000,2960.000000,2800.000000,2860.000000,2833.475098,19616400
2020-06-11,2860.000000,2910.000000,2780.000000,2870.000000,2843.382324,12413300
2020-06-12,2800.000000,2860.000000,2750.000000,2830.000000,2803.753174,15334700
2020-06-15,2830.000000,2860.000000,2690.000000,2730.000000,2704.680664,15068500
2020-06-16,2780.000000,3000.000000,2780.000000,3000.000000,2972.176514,24755500
2020-06-17,3020.000000,3060.000000,2920.000000,3040.000000,3011.805664,16402700
2020-06-18,3020.000000,3050.000000,2920.000000,2920.000000,2892.918457,11955800
2020-06-19,2880.000000,2960.000000,2880.000000,2890.000000,2863.196777,8672400
2020-06-22,2800.000000,2910.000000,2790.000000,2860.000000,2833.475098,14027900
2020-06-23,2900.000000,2900.000000,2790.000000,2830.000000,2803.753174,9411900
2020-06-24,2850.000000,2880.000000,2810.000000,2820.000000,2793.845947,8586800
2020-06-25,2790.000000,2850.000000,2780.000000,2800.000000,2774.031494,4852900
2020-06-26,2820.000000,2850.000000,2800.000000,2810.000000,2783.938721,6694200
2020-06-29,2810.000000,2840.000000,2780.000000,2800.000000,2774.031494,10817100
2020-06-30,2820.000000,2840.000000,2790.000000,2800.000000,2774.031494,8641200
2020-07-01,2820.000000,2820.000000,2770.000000,2800.000000,2774.031494,11307500
2020-07-02,2820.000000,2970.000000,2800.000000,2940.000000,2912.732910,21050600
2020-07-03,2960.000000,2970.000000,2910.000000,2920.000000,2892.918457,11494900
2020-07-06,2950.000000,3140.000000,2930.000000,3130.000000,3100.970947,55359200
2020-07-07,3160.000000,3230.000000,3130.000000,3150.000000,3120.785400,47808600
2020-07-08,3160.000000,3190.000000,3100.000000,3120.000000,3091.063721,20148500
2020-07-09,3130.000000,3160.000000,3090.000000,3100.000000,3071.249023,13934800
2020-07-10,3090.000000,3150.000000,3050.000000,3090.000000,3061.341797,15424100
2020-07-13,3160.000000,3320.000000,3120.000000,3320.000000,3289.208740,44799600
2020-07-14,3300.000000,3300.000000,3200.000000,3250.000000,3219.857910,25037800
2020-07-15,3320.000000,3320.000000,3210.000000,3220.000000,3190.136230,12198900
2020-07-16,3220.000000,3250.000000,3180.000000,3190.000000,3160.414307,7676600
2020-07-17,3180.000000,3240.000000,3170.000000,3200.000000,3170.321777,9348000
2020-07-20,3200.000000,3210.000000,3110.000000,3130.000000,3100.970947,12427700
2020-07-21,3170.000000,3270.000000,3130.000000,3270.000000,3239.672363,21595100
2020-07-22,3300.000000,3370.000000,3260.000000,3290.000000,3259.487061,33863800
2020-07-23,3290.000000,3320.000000,3230.000000,3250.000000,3219.857910,10653100
2020-07-24,3300.000000,3410.000000,3270.000000,3280.000000,3249.579590,42603800
2020-07-27,3320.000000,3490.000000,3310.000000,3470.000000,3437.817627,29558200
2020-07-28,3500.000000,3590.000000,3380.000000,3430.000000,3398.188477,29028200
2020-07-29,3420.000000,3460.000000,3360.000000,3400.000000,3368.466797,17851000
2020-07-30,3480.000000,3510.000000,3410.000000,3420.000000,3388.281250,11143500
